Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Publication_Date,Total_Passengers,Fatal_Injury_Number,Uninjured_Number
20001212X22378,Accident,BFO90LA022,1990-01-27,"GAITHERSBURG, MD",United States,MONTGOMERY COUNTY,Non-Fatal,Destroyed,N75946,Cessna,172N,1.0,Reciprocating,Instructional,0.0,1.0,1.0,0.0,VMC,Landing,28-06-1991,2.0,0.0,0.0
20001212X22443,Accident,LAX90LA078,1990-01-27,"INYOKERN, CA",United States,INYOKERN,Non-Fatal,Substantial,N12528,Cessna,172,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Maneuvering,30-09-1991,2.0,0.0,1.0
20001212X22444,Accident,LAX90LA079,1990-01-28,"BERMUDA DUNES, CA",United States,BERMUDA DUNES,Non-Fatal,Substantial,N24988,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,10-09-1992,1.0,0.0,1.0
20001212X22356,Accident,ANC90FA032,1990-01-28,"ANCHORAGE, AK",United States,MERRILL FIELD,Non-Fatal,Substantial,N8849T,Cessna,182,1.0,Reciprocating,Ferry,0.0,0.0,1.0,0.0,VMC,Approach,05-09-1991,1.0,0.0,0.0
20001212X22479,Accident,NYC90FA060,1990-01-29,"SCHUYLER FALLS, NY",United States,CLINTON COUNTY,Fatal(1),Destroyed,N854FE,Cessna,208B,1.0,Turbo Prop,Unknown,1.0,0.0,0.0,0.0,IMC,Takeoff,09-11-1992,1.0,1.0,0.0
20001212X22379,Accident,BFO90MA023,1990-01-30,"COLUMBIA, MO",United States,COLUMBIA REGIONAL,Fatal(1),Destroyed,G0B0B,Hawker,HS.125-35,2.0,Turbo Jet,Executive/corporate,1.0,1.0,1.0,0.0,VMC,Cruise,11-09-1992,3.0,0.3333333333333333,0.0
20001212X22362,Accident,ATL90FA056,1990-01-30,"WEAVER, AL",United States,MCMINN,Non-Fatal,Substantial,N6871F,Cessna,150F,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,20-10-1992,1.0,0.0,0.0
20001212X22386,Accident,CHI90FA075,1990-01-31,"INDIANAPOLIS, IN",United States,INDIANAPOLIS INTL,Fatal(1),Minor,N519FT,Boeing,727,3.0,Turbo Fan,,1.0,0.0,0.0,6.0,VMC,Standing,10-07-1992,7.0,0.14285714285714285,0.8571428571428571
20001212X22494,Accident,NYC90LA062,1990-01-31,"MILFORD, PA",United States,MYER,Non-Fatal,Substantial,N8947G,Cessna,182N,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,10-09-1992,1.0,0.0,1.0
20001212X22373,Accident,ATL90LA059,1990-01-31,"AUGUSTA, GA",United States,BUSH FIELD,Non-Fatal,Substantial,N6846D,Cessna,425,2.0,Turbo Prop,Business,0.0,0.0,0.0,1.0,VMC,Go-around,30-09-1991,1.0,0.0,1.0
20001212X22610,Accident,MIA90LA066,1990-02-03,"PAHOKEE, FL",United States,,Non-Fatal,Substantial,N6812X,Cessna,172A,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,05-03-1993,2.0,0.0,1.0
20001212X22560,Accident,FTW90FA063B,1990-02-04,"TOMBALL, TX",United States,DAVID WAYNE HOOKS,Fatal(1),Minor,N714RS,Cessna,150M,1.0,Reciprocating,Personal,1.0,0.0,0.0,2.0,VMC,Approach,17-09-1992,3.0,0.3333333333333333,0.6666666666666666
20001212X22560,Accident,FTW90FA063A,1990-02-04,"TOMBALL, TX",United States,DAVID WAYNE HOOKS,Fatal(1),Destroyed,N128S,Cessna,172M,1.0,Reciprocating,Personal,1.0,0.0,0.0,2.0,VMC,Approach,17-09-1992,3.0,0.3333333333333333,0.6666666666666666
20001212X22630,Accident,SEA90FA045,1990-02-05,"BAKER, OR",United States,,Fatal(1),Destroyed,N50GP,Cessna,402B,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,UNK,Cruise,21-09-1992,1.0,1.0,0.0
20001212X22577,Accident,LAX90FA082B,1990-02-06,"CHICO, CA",United States,CHICO,Fatal(3),Destroyed,N790T,Cessna,182P,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,VMC,Approach,08-06-1993,3.0,1.0,0.0
20001212X22578,Accident,LAX90FA083,1990-02-06,"PHOENIX, AZ",United States,,Fatal(1),Substantial,N6471L,Cessna,152,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,08-12-1992,1.0,1.0,0.0
20001212X22576,Accident,LAX90FA062B,1990-02-07,"LINCOLN, CA",United States,LINCOLN,Non-Fatal,Substantial,N67321,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,19-12-1994,3.0,0.0,1.0
20001212X22625,Accident,NYC90LA070,1990-02-08,"DUANESBURG, NY",United States,,Non-Fatal,Substantial,N4768X,Cessna,150,1.0,Reciprocating,Instructional,0.0,1.0,1.0,0.0,VMC,Descent,09-11-1992,2.0,0.0,0.0
20001212X22548,Accident,DEN90LA052,1990-02-08,"HAUGAN, MT",United States,,Non-Fatal,Substantial,N9342T,Cessna,180C,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,30-12-1992,1.0,0.0,1.0
20001212X22624,Accident,NYC90LA069,1990-02-09,"SUNAPEE LAKE, NH",United States,,Non-Fatal,Substantial,N65057,Cessna,172P,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,10-09-1992,3.0,0.0,1.0
20001212X22614,Accident,MKC90LA052,1990-02-09,"CLEAR LAKE, MN",United States,LEADERS,Non-Fatal,Substantial,N7359G,Cessna,150,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Go-around,28-06-1991,2.0,0.0,1.0
20001212X22615,Accident,MKC90LA053,1990-02-10,"PALESTINE, AR",United States,,Non-Fatal,Substantial,N3049V,Cessna,150,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,05-09-1991,2.0,0.0,0.0
20001212X22587,Accident,LAX90LA086,1990-02-10,"BULLHEAD CITY, AZ",United States,,Non-Fatal,Substantial,N1272Q,Cessna,150L,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Approach,10-09-1992,1.0,0.0,1.0
20001212X22567,Accident,FTW90LA067,1990-02-10,"PRUE, OK",United States,,Non-Fatal,Substantial,N1407Y,Cessna,172C,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,VMC,Maneuvering,30-09-1991,3.0,0.0,0.0
20001212X22566,Accident,FTW90LA066,1990-02-10,"PORTLAND, TX",United States,HUNT,Non-Fatal,Substantial,N3110C,Cessna,180,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,10-10-1991,1.0,0.0,1.0
20001212X22635,Accident,SEA90LA041,1990-02-11,"SUN RIVER, OR",United States,SUNRIVER,Non-Fatal,Substantial,N6045N,Cessna,A185F,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,12-02-1993,2.0,0.0,0.0
20001212X22611,Accident,MIA90LA069,1990-02-11,"FORT LAUDERDALE, FL",United States,FT LAUDERDALE EXECUTIVE,Non-Fatal,Substantial,N98673,Cessna,172P,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Taxi,05-03-1993,1.0,0.0,1.0
20001212X22568,Accident,FTW90LA068,1990-02-11,"AUSTIN, TX",United States,AUSTIN MUNI,Non-Fatal,Substantial,N52035,Cessna,180J,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,10-09-1992,4.0,0.0,1.0
